"id","accession number","title","who","image"
13393,"1990.21.1","Self-Portrait","John Henry Brown","http://images.metmuseum.org/CRDImages/ap/original/DP168967.jpg"
13552,"83.2.154","Badge of George Washington",,"http://images.metmuseum.org/CRDImages/ad/original/25539_83.2.154.jpg"
13836,"46.106.2","Printed Piece","Henry Gardiner","http://images.metmuseum.org/CRDImages/ad/original/136855.jpg"
14353,"2006.235.144","Portrait of a Lady","James Peale","http://images.metmuseum.org/CRDImages/ap/original/APS6652.jpg"
14400,"1991.91","Portrait of a Gentleman","Louis Francis DePaul Binsse","http://images.metmuseum.org/CRDImages/ap/original/ap1991.91.jpg"
14403,"1992.71","Portrait of a Gentleman","Nathaniel Rogers","http://images.metmuseum.org/CRDImages/ap/original/ap1992.71.jpg"
14428,"2006.235.26","Portrait of a Lady","John Carlin","http://images.metmuseum.org/CRDImages/ap/original/APS6782.jpg"
14522,"2006.235.164","Portrait of a Gentleman","Nathaniel Rogers","http://images.metmuseum.org/CRDImages/ap/original/APS6541.jpg"
14997,"2006.235.281","Portrait of a Lady","Daniel F. Ames","http://images.metmuseum.org/CRDImages/ap/original/APS6898.jpg"
15008,"2006.235.251","Portrait of a Gentleman","William Russell Birch","http://images.metmuseum.org/CRDImages/ap/original/APS6774.jpg"
15009,"2006.235.308","Portrait of a Lady","David Boudon","http://images.metmuseum.org/CRDImages/ap/original/SFcs235308a.jpg"
15016,"2006.235.24","Portrait of a Gentleman","John Carlin","http://images.metmuseum.org/CRDImages/ap/original/APS6760.jpg"
15018,"2006.235.28","Portrait of a Gentleman","George Catlin","http://images.metmuseum.org/CRDImages/ap/original/APS6805.jpg"
15026,"2006.235.32","Self-portrait miniature","John Singleton Copley","http://images.metmuseum.org/CRDImages/ap/original/DP161508.jpg"
15031,"2006.235.7","Portrait of a Gentleman","Thomas Seir Cummings","http://images.metmuseum.org/CRDImages/ap/original/APS6591.jpg"
15032,"2006.235.36","Portrait of a Gentleman","Thomas Seir Cummings","http://images.metmuseum.org/CRDImages/ap/original/APS6817.jpg"
15033,"2006.235.37","Portrait of a Gentleman","Thomas Dawson","http://images.metmuseum.org/CRDImages/ap/original/APS6818.jpg"
15036,"2006.235.40","Portrait of a Gentleman","Anson Dickinson","http://images.metmuseum.org/CRDImages/ap/original/APS6822.jpg"
15052,"2006.235.58","Portrait of a Gentleman","William M. S. Doyle","http://images.metmuseum.org/CRDImages/ap/original/APS6840.jpg"
15053,"2006.235.60","Portrait of a Gentleman","William M. S. Doyle","http://images.metmuseum.org/CRDImages/ap/original/APS6842.jpg"
15063,"2006.235.68","Portrait of a Boy","Augustus Fuller","http://images.metmuseum.org/CRDImages/ap/original/APS6849.jpg"
15064,"2006.235.284","Portrait of a Gentleman","Eliza Goodridge","http://images.metmuseum.org/CRDImages/ap/original/APS6917.jpg"
15065,"2006.235.285","Portrait of a Lady","Eliza Goodridge","http://images.metmuseum.org/CRDImages/ap/original/APS6918.jpg"
15066,"2006.235.71","Portrait of a Boy","Eliza Goodridge","http://images.metmuseum.org/CRDImages/ap/original/APS6853.jpg"
15069,"2006.235.72","Portrait of a Gentleman","Sarah Goodridge","http://images.metmuseum.org/CRDImages/ap/original/APS6854.jpg"
15087,"2006.235.92","Portrait of a Lady","Charles Cromwell Ingham","http://images.metmuseum.org/CRDImages/ap/original/DP162130.jpg"
15092,"2006.235.96","Portrait of a Gentleman",,"http://images.metmuseum.org/CRDImages/ap/original/APS6881.jpg"
15095,"2006.235.287","Portrait of a Gentleman","Emanuel Leutze","http://images.metmuseum.org/CRDImages/ap/original/APS6920.jpg"
15098,"2006.235.250","Portrait of a Gentleman","William Lewis","http://images.metmuseum.org/CRDImages/ap/original/APS6773.jpg"
15106,"2006.235.107","Portrait of a Lady","Edward Dalton Marchant","http://images.metmuseum.org/CRDImages/ap/original/DP217031.jpg"
15107,"2006.235.108","Portrait of a Boy","John Alexander McDougall","http://images.metmuseum.org/CRDImages/ap/original/APS6611.jpg"
