id,accession number,title,who,image,when,date,numTags,whatString,collPage,gallery-id,,,,,,,,,,,,,,,
250985,20.236,Gold double lion's head earring,,http://images.metmuseum.org/CRDImages/gr/original/sf20236.jpg,1000 B.C.-A.D. 1,last quarter of the 4th century B.C.,1,"[""Metal"",""Costume"",""Silver"",""Gold"",""Jewelry"",""Ear ornaments"",""Earrings""]",http://www.metmuseum.org/Collections/search-the-collections/250985,158,,,,,,,,,,,,,,,
251828,25.78.44aâ€“d,Bronze box mirror,,http://images.metmuseum.org/CRDImages/gr/original/DP116953.jpg,1000 B.C.-A.D. 1,late 4th century B.C.,1,"[""Metal"",""Copper alloy"",""Bronze"",""Mirrors""]",http://www.metmuseum.org/Collections/search-the-collections/251828,158,,,,,,,,,,,,,,,
254508,"44.11.2, .3",Marble funerary statues of a maiden and a little girl,,http://images.metmuseum.org/CRDImages/gr/original/GR64.jpg,1000 B.C.-A.D. 1,ca. 320 B.C.,1,"[""Sculpture"",""Stone"",""Statues"",""Marble""]",http://www.metmuseum.org/Collections/search-the-collections/254508,158,,,,,,,,,,,,,,,
254907,56.171.49,Terracotta bell-krater (bowl for mixing wine and water),Kekrops Painter,http://images.metmuseum.org/CRDImages/gr/original/GR1008.jpg,1000 B.C.-A.D. 1,ca. 410â€“400 B.C.,2,"[""Clay"",""Vessels"",""Vases"",""Terracotta"",""Bells"",""Kraters""]",http://www.metmuseum.org/Collections/search-the-collections/254907,159,,,,,,,,,,,,,,,
246985,03.12.2,Marble head of a woman,,http://images.metmuseum.org/CRDImages/gr/original/115982.jpg,,1st century A.D.,1,"[""Sculpture"",""Stone"",""Marble""]",http://www.metmuseum.org/Collections/search-the-collections/246985,160,,,,,,,,,,,,,,,
241968,74.51.2414,Limestone funerary cippus (tomb marker),,http://images.metmuseum.org/CRDImages/gr/original/DP273896.jpg,A.D. 1-500,2ndâ€“3rd century A.D.,1,"[""Limestone"",""Cippi""]",http://www.metmuseum.org/Collections/search-the-collections/241968,162,,,,,,,,,,,,,,,
248139,09.221.2,Marble grave relief with two portrait busts,,http://images.metmuseum.org/CRDImages/gr/original/DP143310.jpg,,ca. 13 B.C.â€“A.D. 5,1,"[""Sculpture"",""Fragments"",""Stone"",""Reliefs"",""Marble""]",http://www.metmuseum.org/Collections/search-the-collections/248139,162,,,,,,,,,,,,,,,
248311,10.210.23,Marble head of a youth,,http://images.metmuseum.org/CRDImages/gr/original/DP271313.jpg,1000 B.C.-A.D. 1,3rd century B.C.,1,"[""Sculpture"",""Stone"",""Marble""]",http://www.metmuseum.org/Collections/search-the-collections/248311,162,,,,,,,,,,,,,,,
248642,12.157,Marble head of Athena,,http://images.metmuseum.org/CRDImages/gr/original/DP119212.jpg,,ca. 27 B.C.â€“A.D. 68,1,"[""Sculpture"",""Stone"",""Marble""]",http://www.metmuseum.org/Collections/search-the-collections/248642,162,,,,,,,,,,,,,,,
248703,12.232.5,Marble head of a boy,,http://images.metmuseum.org/CRDImages/gr/original/DP271322.jpg,A.D. 1-500,1st century A.D.,1,"[""Sculpture"",""Stone"",""Marble""]",http://www.metmuseum.org/Collections/search-the-collections/248703,162,,,,,,,,,,,,,,,
248898,14.130.8,Marble pediment of a funerary altar,,http://images.metmuseum.org/CRDImages/gr/original/DP138726.jpg,A.D. 1-500,ca. A.D. 120â€“130,1,"[""Sculpture"",""Stone"",""Reliefs"",""Marble"",""Cippi""]",http://www.metmuseum.org/Collections/search-the-collections/248898,162,,,,,,,,,,,,,,,
249051,15.145,Marble portrait of a man,,http://images.metmuseum.org/CRDImages/gr/original/DP123871.jpg,A.D. 1-500,ca. A.D. 117â€“161,1,"[""Sculpture"",""Stone"",""Figures"",""Marble"",""Busts""]",http://www.metmuseum.org/Collections/search-the-collections/249051,162,,,,,,,,,,,,,,,
249052,15.146,Marble head of a girl from a small statue,,http://images.metmuseum.org/CRDImages/gr/original/DP271367.jpg,1000 B.C.-A.D. 1,3rd century B.C.,1,"[""Sculpture"",""Stone"",""Marble""]",http://www.metmuseum.org/Collections/search-the-collections/249052,162,,,,,,,,,,,,,,,
251839,25.78.57,Limestone head of a wreathed youth,,http://images.metmuseum.org/CRDImages/gr/original/72283.jpg,1000 B.C.-A.D. 1,4thâ€“3rd century B.C.,1,"[""Costume"",""Sculpture"",""Stone"",""Limestone"",""Wreaths""]",http://www.metmuseum.org/Collections/search-the-collections/251839,162,,,,,,,,,,,,,,,
252470,26.60.3,Marble portrait bust of a man,,http://images.metmuseum.org/CRDImages/gr/original/29A_R03R5.jpg,A.D. 1-500,mid-1st century A.D.,1,"[""Sculpture"",""Stone"",""Figures"",""Marble"",""Busts""]",http://www.metmuseum.org/Collections/search-the-collections/252470,162,,,,,,,,,,,,,,,
252932,27.122.18,Marble head of Herakles,,http://images.metmuseum.org/CRDImages/gr/original/DP119245.jpg,,1st century A.D.,1,"[""Sculpture"",""Stone"",""Figures"",""Marble"",""Busts"",""Parian marble""]",http://www.metmuseum.org/Collections/search-the-collections/252932,162,,,,,,,,,,,,,,,
254819,55.11.5,Marble sarcophagus with the Triumph of Dionysos and the Seasons,,http://images.metmuseum.org/CRDImages/gr/original/DP138717.jpg,A.D. 1-500,ca. A.D. 260â€“270,1,"[""Sculpture"",""Stone"",""Marble"",""Funerary containers"",""Coffins"",""Sarcophagi""]",http://www.metmuseum.org/Collections/search-the-collections/254819,162,,,,,,,,,,,,,,,
256530,1996.401,Marble portrait head of Antinoos,,http://images.metmuseum.org/CRDImages/gr/original/GR33.jpg,A.D. 1-500,ca. A.D. 130â€“138,1,"[""Sculpture"",""Stone"",""Marble""]",http://www.metmuseum.org/Collections/search-the-collections/256530,162,,,,,,,,,,,,,,,
256911,1998.209,Marble bust of a bearded man,,http://images.metmuseum.org/CRDImages/gr/original/DT296.jpg,A.D. 1-500,ca. A.D. 150â€“175,1,"[""Sculpture"",""Stone"",""Figures"",""Marble"",""Busts""]",http://www.metmuseum.org/Collections/search-the-collections/256911,162,,,,,,,,,,,,,,,
257603,2002.66,Marble head of a Ptolemaic queen,,http://images.metmuseum.org/CRDImages/gr/original/DT5382.jpg,1000 B.C.-A.D. 1,ca. 270â€“250 B.C.,1,"[""Sculpture"",""Stone"",""Marble""]",http://www.metmuseum.org/Collections/search-the-collections/257603,162,,,,,,,,,,,,,,,
249273,17.194.28,Glass ring stone,,http://images.metmuseum.org/CRDImages/gr/original/DP111333.jpg,1000 B.C.-A.D. 1,2ndâ€“1st century B.C.,1,"[""Sculpture"",""Glass"",""Faience"",""Gems"",""Intaglios""]",http://www.metmuseum.org/Collections/search-the-collections/249273,163,,,,,,,,,,,,,,,
255478,1972.118.167,Carnelian oval,,http://images.metmuseum.org/CRDImages/gr/original/DP142609.jpg,1000 B.C.-A.D. 1,3rd century B.C.,1,"[""Sculpture"",""Chalcedony"",""Gems"",""Carnelian"",""Intaglios""]",http://www.metmuseum.org/Collections/search-the-collections/255478,163,,,,,,,,,,,,,,,
241050,74.51.1495,Terracotta head of an old woman,,http://images.metmuseum.org/CRDImages/gr/original/DP100598.jpg,1000 B.C.-A.D. 1,2ndâ€“1st century B.C.,1,"[""Clay"",""Terracotta""]",http://www.metmuseum.org/Collections/search-the-collections/241050,164,,,,,,,,,,,,,,,
247546,6.1128,Silvered bronze roundel with satyr head (one of a pair),,http://images.metmuseum.org/CRDImages/gr/original/DP20414.jpg,1000 B.C.-A.D. 1,ca. 325â€“300 B.C.,1,"[""Metal"",""Sculpture"",""Copper alloy"",""Bronze"",""Reliefs""]",http://www.metmuseum.org/Collections/search-the-collections/247546,164,,,,,,,,,,,,,,,
251095,21.88.71,Marble head of a man,,http://images.metmuseum.org/CRDImages/gr/original/52427.jpg,1000 B.C.-A.D. 1,3rdâ€“1st century B.C.,1,"[""Sculpture"",""Stone"",""Marble"",""Parian marble""]",http://www.metmuseum.org/Collections/search-the-collections/251095,164,,,,,,,,,,,,,,,
251347,23.160.3,"Marble head of a god, probably Dionysos",,http://images.metmuseum.org/CRDImages/gr/original/DP292009.jpg,A.D. 1-500,1st or 2nd century A.D.,1,"[""Sculpture"",""Stone"",""Marble""]",http://www.metmuseum.org/Collections/search-the-collections/251347,164,,,,,,,,,,,,,,,
251517,24.97.90,Marble head of a female satyr,,http://images.metmuseum.org/CRDImages/gr/original/DP282105.jpg,1000 B.C.-A.D. 1,3rd or 2nd century B.C.,1,"[""Sculpture"",""Stone"",""Marble""]",http://www.metmuseum.org/Collections/search-the-collections/251517,164,,,,,,,,,,,,,,,
254613,49.11.3,Bronze statuette of a boy in Eastern dress,,http://images.metmuseum.org/CRDImages/gr/original/DT7206.jpg,1000 B.C.-A.D. 1,mid-late 1st century B.C.,1,"[""Metal"",""Sculpture"",""Copper alloy"",""Bronze"",""Statues""]",http://www.metmuseum.org/Collections/search-the-collections/254613,164,,,,,,,,,,,,,,,
257518,2000.308,Faience appliquÃ© with a bust of Dionysos,,http://images.metmuseum.org/CRDImages/gr/original/GR743.jpg,1000 B.C.-A.D. 1,3rdâ€“1st century B.C.,1,"[""Faience"",""Needlework"",""Figures"",""Busts"",""AppliquÃ©""]",http://www.metmuseum.org/Collections/search-the-collections/257518,164,,,,,,,,,,,,,,,
247993,07.286.115,Marble portrait of the emperor Augustus,,http://images.metmuseum.org/CRDImages/gr/original/DT298.jpg,A.D. 1-500,ca. A.D. 14â€“37,1,"[""Sculpture"",""Stone"",""Marble""]",http://www.metmuseum.org/Collections/search-the-collections/247993,166,,,,,,,,,,,,,,,
248001,07.286.125,Chalcedony portrait bust of a young woman,,http://images.metmuseum.org/CRDImages/gr/original/DP155535.jpg,A.D. 1-500,ca. A.D. 130â€“140,1,"[""Figures"",""Chalcedony"",""Gems"",""Busts""]",http://www.metmuseum.org/Collections/search-the-collections/248001,166,,,,,,,,,,,,,,,
249596,17.194.360,Cameo glass fragment,,http://images.metmuseum.org/CRDImages/gr/original/DP155135.jpg,,late 1st century B.C.â€“mid-1st century A.D.,1,"[""Sculpture"",""Glass"",""Fragments"",""Cameos""]",http://www.metmuseum.org/Collections/search-the-collections/249596,166,,,,,,,,,,,,,,,
251821,25.78.35,Bronze portrait head of the emperor Gaius (Caligula),,http://images.metmuseum.org/CRDImages/gr/original/GR738.jpg,A.D. 1-500,ca. A.D. 37â€“41,1,"[""Metal"",""Copper alloy"",""Bronze""]",http://www.metmuseum.org/Collections/search-the-collections/251821,166,,,,,,,,,,,,,,,
